Samples,Mode,Type,Group,Treatment,Plate,Experiment,ANPpM1,ANPpM2,ANPpM3,ANPpM4,ANPpM5,ANPpM6,ANPpM7,ANPpM8,ANPpM9,ANPpM10,ANPpM11,ANPpM12,ANPpM13,ANPpM14,ANPpM15,ANPpM16,ANPpM17,ANPpM18,ANPpM19,ANPpM20,ANPpM21,ANPpM22,ANPpM23,ANPpM24,ANPpM25,ANPpM26,ANPpM27,ANPpM28,ANPpM29,ANPpM30,ANPpM31,ANPpM32,ANPpM33,ANPpM34,ANPpM35,ANPpM36,ANPpM37,ANPpM38,ANPpM39,ANPpM40,ANPpM41,ANPpM42,ANPpM43,ANPpM44,ANPpM45,ANPpM46,ANPpM47,ANPpM48,ANPpM49,ANPpM50,ANPpM51,ANPpM52,ANPpM53,ANPpM54,ANPpM55,ANPpM56
QC1,pos,media,QC,QC,QC,QC,205838.7702,18660.41625,658546.5456,121094.3647,86701.31618,17853.04994,409649.6372,67958.96959,515371.7983,50300.81985,260665.9736,273623.7523,23859.6522,32564.67325,228819.5631,168094.6036,840407.7482,815565.3049,233507.0787,13105.59892,653146.957,65843.92698,78496.7261,240412.1082,17669.74379,28936.60244,19789.05821,51747.37322,35095.97552,40945.92237,102093.825,928353.227,7773.208717,501460.0214,96889.74124,53132.54206,721544.8686,117516.8152,5901.055779,62469.38979,203212.8908,29363.83007,147120.4845,28009.00918,58649.98189,4649.372034,10183.72895,12451.63311,53383.22045,18051.14366,20552.40273,12783.13812,1155.023954,23385.93378,10272.84562,18504.85667
QC2,pos,media,QC,QC,QC,QC,218160.5928,18876.87352,710962.6696,138269.814,101339.1873,24356.90581,437980.993,77866.63209,557877.7065,50340.47013,284479.1926,306308.3885,26762.82198,42029.72453,249991.8527,178309.6582,905341.9918,914010.4575,229261.59,12778.9483,699755.9534,76457.75864,82872.58145,248610.4675,21470.94035,31369.85944,21882.92909,71829.46874,40764.55822,41643.33096,104605.3907,955139.9829,7204.5805,524682.6557,100999.0461,69871.15355,778955.4408,150734.6476,6825.220394,68211.40159,220936.1697,28580.02587,145981.1826,30399.82443,59620.24537,6497.140952,8343.221124,15020.95102,57197.52888,18381.11687,26773.52145,14934.41504,1714.279466,26330.31113,12610.13141,20424.75823
QC3,pos,media,QC,QC,QC,QC,231671.7357,20452.7015,742018.8636,147427.8114,95608.14756,26418.6727,446583.6241,77741.35092,669725.2105,53816.98696,288733.8272,303145.7642,25366.32544,42815.10261,270238.4533,170031.868,910018.2119,909083.6408,241111.2776,16898.96678,711027.949,74114.22886,92090.11664,259342.7479,18848.15196,32072.28117,23339.14128,47830.15702,39368.13658,40371.37561,114368.6408,974295.0276,8870.657517,549618.1155,101933.373,65632.94906,780917.3033,126347.3724,9101.181666,47761.06524,229608.5672,29538.24238,145202.0737,31549.74518,61999.89266,5013.956538,11561.25408,15454.51236,71597.1838,21680.59626,25639.27761,15442.94055,1476.474832,26913.05772,10968.86376,23348.37326
QC4,pos,media,QC,QC,QC,QC,243721.6032,23743.36254,771085.4698,138292.8431,107536.7215,27258.93758,431516.2506,82242.69819,629067.6646,42281.35053,299176.5574,308791.8798,27744.52137,46416.32567,243399.2796,175932.0741,946357.3233,971091.9728,223263.4785,14440.25194,744567.171,79156.88876,86750.29529,261160.6581,21178.1574,31944.04481,22700.9025,68428.82412,39603.42015,47064.3647,117472.1815,968301.9063,10060.0792,549487.1644,102088.8494,69978.81336,800738.6678,127726.2495,8890.040934,53959.94517,227684.4258,30265.50019,146823.0238,28104.07087,62074.50907,5526.197313,12464.8424,15982.13906,67041.55909,18580.9572,28199.04486,14544.99351,1061.193225,29008.1321,12896.11091,25043.50464
QC5,pos,media,QC,QC,QC,QC,234978.5033,19528.64343,753711.7635,140561.3457,102105.6696,25896.51915,458741.8945,79454.41799,650984.514,59456.53038,297792.8468,295919.2039,28383.18841,47086.23496,253920.317,177691.944,1003910.179,990268.9778,240211.1537,13354.56694,767572.9556,74509.52358,95201.80476,269792.7199,24457.33473,32599.64346,26273.89358,65103.48882,37177.29413,41814.68458,118665.2419,967861.7399,7859.733003,562988.5493,99292.87642,60073.7049,813317.1077,160976.2667,7913.587044,54352.74201,227000.8864,29227.61665,164682.8614,31444.03114,60608.77148,5868.320831,10602.31296,13692.63191,66786.56371,21082.16581,25506.69867,18119.53864,2646.471815,26265.45992,13529.48097,24051.8125
QC6,pos,media,QC,QC,QC,QC,245486.806,25072.72949,770863.0779,137632.7871,99997.21221,25594.7375,437901.4229,72909.52863,636342.5262,51005.45583,298520.8101,288361.1912,28640.21784,31881.07111,259221.4194,176842.309,984712.9872,966004.5342,263483.8935,14473.93148,852563.993,76672.41774,105581.2756,273595.6486,18644.45823,33957.37323,22358.63506,41530.04281,37203.85442,34240.96912,118304.8732,955997.0147,7937.683936,,106824.8936,62999.58788,787772.3384,130308.5194,8904.504828,48436.97273,210452.6418,30215.99784,146831.2194,29273.61192,56881.34893,5082.507519,10426.40873,13197.85242,63856.00768,20659.67502,27845.45194,16910.61193,2248.354306,25397.72897,14525.78236,22495.50731
QC7,pos,media,QC,QC,QC,QC,234021.5975,20419.67222,765656.8491,143429.189,104019.2456,23899.81956,431861.3813,65144.15806,644034.9533,49871.29644,287590.0721,280016.5938,26371.76663,45129.25888,255230.3891,179162.6129,1011350.358,929970.5219,241709.8943,17964.64069,915563.5101,77573.95064,116175.0777,269984.3774,25690.57451,34479.18043,21614.82615,68956.33756,38682.55361,38005.16811,117364.7792,940177.0019,8008.592203,514171.9238,99412.18305,64991.74189,766995.1903,149842.9821,7190.45798,79884.33544,218089.0465,31196.87633,134113.1467,32277.89087,61045.6051,5408.99154,7622.398012,15634.00381,58137.26808,22112.28743,22768.89605,15313.07026,3342.889943,25461.02982,12535.03597,24682.89036
QC8,pos,media,QC,QC,QC,QC,232553.574,19572.07042,739528.1806,147768.3821,82475.1271,27831.33798,430246.0937,60585.50123,603138.7125,51551.37995,280156.93,251468.0501,28049.46133,23561.74475,265884.4469,171314.3617,979649.5121,920958.6703,238881.256,18643.38069,991147.8992,66780.73824,114293.3076,268713.4753,25165.17849,32797.93269,21967.9159,58851.71246,43988.14288,35940.19986,125595.5112,917181.5017,6794.615036,507930.6779,106971.4251,64951.11683,755402.1815,115111.2738,10045.12549,51156.39892,206483.0963,31693.32008,142104.7819,28684.99876,58960.95318,5947.566688,6847.306776,15053.61338,56534.87208,20826.56082,22228.86826,15189.65791,1719.700516,26969.85325,13846.30465,23681.05868
QC9,pos,media,QC,QC,QC,QC,230915.3066,18305.49172,748670.1847,146970.5505,95682.80831,26982.03993,411200.132,57965.8053,577297.3491,49827.01415,261790.8571,247726.0062,28286.1405,46106.39104,232624.2281,157173.5114,980936.0517,875223.2669,225752.5351,13238.61258,1017440.938,68754.47833,112220.0652,259157.0112,19337.06978,30125.84272,21019.47137,54923.91685,36678.67171,32239.67257,127489.7421,907443.8232,8961.121107,475773.7146,109255.7608,65971.72322,737188.558,136784.6185,9077.31537,46785.7766,216198.8226,31361.15899,136838.9892,32250.80091,50248.61742,5278.22366,10123.57226,12785.86983,59904.18484,19924.61752,23124.64918,14936.76063,2132.860432,24002.66891,12240.01353,26488.59014
QC10,pos,media,QC,QC,QC,QC,220588.3127,15355.72394,758770.4665,140031.8223,91661.51186,27072.31318,389230.4533,50520.60213,604650.6057,49779.62342,258263.9731,221292.8794,26390.30592,45406.06568,231744.5429,140762.7495,924346.0302,865009.9064,233704.239,13634.64601,1059384.53,70837.3852,121434.0733,241766.7673,19588.56528,29831.26797,17934.08925,52198.63297,35500.09607,31279.89542,122311.3973,861938.511,8107.280341,448067.1757,112717.6127,59123.28228,679859.4601,91125.81339,9311.716854,42784.86216,213625.8211,31907.43838,130710.7085,30918.46713,53187.05766,4172.110987,9171.955919,14904.83084,54912.61397,23762.09375,20387.37012,15519.54496,2294.650946,24833.05333,11716.41683,24621.9898
