compound_short,compound_full,formula,mass,rt,cas_id
VPAnC1,Methylglyoxal,C3 H4 O2,72.021,1.86,78-98-8
VPAnC2,Glycine,C2 H5 N O2,75.032,8.12,56-40-6
VPAnC3,Sulfite,H2 O3 S,81.973,1.44,7782-99-2
VPAnC4,Pyruvate,C3 H4 O3,88.016,1.47,127-17-3
VPAnC5,Acetoin,C4 H8 O2,88.053,1.97,513-86-0
VPAnC6,Alanine,C3 H7 N O2,89.048,8.22,56-41-7
VPAnC7,Sarcosine,C3 H7 N O2,89.048,9.24,107-97-1
VPAnC8,Beta-Alanine,C3 H7 N O2,89.048,10.26,107-95-9
VPAnC9,Oxalic Acid,C2 H2 O4,89.995,7.68,144-62-7
VPAnC10,Lactic Acid,C3 H6 O3,90.033,2.96,79-33-4
VPAnC11,N-Formylglycine,C3 H5 N O3,103.028,3.6,2491-15-8
VPAnC12,2-Aminobutyric Acid,C4 H9 N O2,103.064,8.55,1492-24-6
VPAnC13,BAIBA,C4 H9 N O2,103.064,8.55,144-90-1
VPAnC14,GABA,C4 H9 N O2,103.064,11.17,56-12-2
VPAnC15,2-Hydroxybutyric Acid,C4 H8 O3,104.048,2.36,3347-90-8
VPAnC16,3-Hydroxybutyric Acid,C4 H8 O3,104.048,3.47,300-85-6
VPAnC17,Serine,C3 H7 N O3,105.043,8.1,56-45-1
VPAnC18,Glyceric Acid,C3 H6 O4,106.027,3.6,473-81-4
VPAnC19,Hypotaurine,C2 H7 N O2 S,109.02,8.72,300-84-5
VPAnC20,Uracil,C4 H4 N2 O2,112.027,1.44,66-22-8
VPAnC21,1-Pyrroline-2-carboxylic Acid,C5 H7 N O2,113.047,7.92,02139-03-9
VPAnC22,Creatinine,C4 H7 N3 O,113.059,4.83,60-27-5
VPAnC23,Thiosulfate,H2 O3 S2,113.945,4.85,14383-50-7
VPAnC24,"5,6-Dihydrouracil",C4 H6 N2 O2,114.043,2.67,504-07-4
VPAnC25,Proline,C5 H9 N O2,115.063,9.1,147-85-3
VPAnC26,Fumaric Acid,C4 H4 O4,116.011,7.38,110-17-8
VPAnC27,Caproic Acid,C6 H12 O2,116.084,1.57,142-62-1
VPAnC28,N-Acetylglycine,C4 H7 N O3,117.043,4.66,543-24-8
VPAnC29,Valine,C5 H11 N O2,117.079,7.25,72-18-4
VPAnC30,Threonine,C4 H9 N O3,119.059,7.72,72-19-5
VPAnC31,Nicotinic acid,C6 H5 N O2,123.041,1.56,59-67-6
VPAnC32,Taurine,C2 H7 N O3 S,125.015,4.91,107-35-7
VPAnC33,4-Oxoproline,C5 H7 N O3,129.043,5.98,4347-18-6
VPAnC34,Ketoleucine,C6 H10 O3,130.063,1.39,816-66-0
VPAnC35,trans-4-Hydroxyproline,C5 H9 N O3,131.058,7.95,51-35-4
VPAnC36,N-Acetylalanine,C5 H9 N O3,131.061,3.32,97-69-8
VPAnC37,Creatine,C4 H9 N3 O2,131.07,9.25,57-00-1
VPAnC38,Isoleucine,C6 H13 N O2,131.095,6.67,73-32-5
VPAnC39,Leucine,C6 H13 N O2,131.095,6.42,61-90-5
VPAnC40,Ethylmalonic Acid,C5 H8 O4,132.043,2.44,601-75-2
VPAnC41,Asparagine,C4 H8 N2 O3,132.054,8.37,70-47-3
VPAnC42,2-Hydroxy-3-methylpentanoic Acid,C6 H12 O3,132.079,1.74,448-15-3
VPAnC43,5-Hydroxyhexanoic Acid,C6 H12 O3,132.079,3.5,83972-61-6
VPAnC44,Aspartic Acid,C4 H7 N O4,133.038,8.25,56-84-8
VPAnC45,Malic Acid,C4 H6 O5,134.022,7.37,97-67-6
VPAnC46,Deoxyribose,C5 H10 O4,134.058,2.29,533-67-5
VPAnC47,Homocysteine,C4 H9 N O2 S,135.041,8.25,6027-13-0
VPAnC48,Adenine,C5 H5 N5,135.055,3.2,73-24-5
VPAnC49,Hypoxanthine,C5 H4 N4 O,136.038,2.84,68-94-0
VPAnC50,Phenylacetic Acid,C8 H8 O2,136.053,1.51,103-82-2
VPAnC51,Urocanic Acid,C6 H6 N2 O2,138.043,2.49,104-98-3
VPAnC52,6-Hydroxynicotinic Acid,C6 H5 N O3,139.027,1.14,5006-66-6
VPAnC53,O-Phosphoethanolamine,C2 H8 N O4 P,141.019,13.9,1071-23-4 
VPAnC54,Valproic acid,C8 H16 O2,144.115,1.41,99-66-1
VPAnC55,2-Oxoglutaric Acid,C5 H6 O5,146.021,6.34,328-50-7
VPAnC56,Glutamine,C5 H10 N2 O3,146.069,8.58,56-85-9
VPAnC57,Lysine,C6 H14 N2 O2,146.106,23.13,56-87-1
VPAnC58,N-Acetylserine,C5 H9 N O4,147.054,3.38,16354-58-8
VPAnC59,Glutamic Acid,C5 H9 N O4,147.054,8.54,56-86-0
VPAnC60,3-Hydroxyglutaric Acid,C5 H8 O5,148.037,7.48,638-18-6
VPAnC61,Mevalonic Acid,C6 H12 O4,148.074,2.27,17817-88-8
VPAnC62,Methionine,C5 H11 N O2 S,149.051,6.48,63-68-3
VPAnC63,D-Ribose,C5 H10 O5,150.053,3.26,50-69-1
