Samples,Mode,Type,Group,Treatment,Plate,Experiment,ANPnM1,ANPnM2,ANPnM3,ANPnM4,ANPnM5,ANPnM6,ANPnM7,ANPnM8,ANPnM9,ANPnM10,ANPnM11,ANPnM12,ANPnM13,ANPnM14,ANPnM15,ANPnM16,ANPnM17,ANPnM18,ANPnM19,ANPnM20,ANPnM21,ANPnM22,ANPnM23,ANPnM24,ANPnM25,ANPnM26,ANPnM27,ANPnM28,ANPnM29,ANPnM30,ANPnM31,ANPnM32,ANPnM33,ANPnM34,ANPnM35,ANPnM36,ANPnM37,ANPnM38,ANPnM39,ANPnM40,ANPnM41,ANPnM42,ANPnM43,ANPnM44,ANPnM45,ANPnM46,ANPnM47,ANPnM48,ANPnM49,ANPnM50,ANPnM51,ANPnM52,ANPnM53,ANPnM54
QC1,neg,media,QC,QC,QC,QC,1220595.761,422055.9164,118136.5467,21170.07635,15105.71375,162092.485,139085.7158,9818521.654,414644.158,125656.7803,33143.18064,65002.80582,156017.4577,158933.5212,73821.34265,665093.1143,37132.79414,40910.1745,1255628.792,247324.3353,222042.5688,225925.7745,138074.6831,887859.4646,24515.34828,457690.7134,42567.0093,96720.71368,133167.231,3688.085272,85070.10478,177936.3895,119762.6688,47258.37051,1952152.277,152030.4681,16128.16339,267926.1008,22868.03617,11106.87211,37729.85382,50865.97365,87885.85299,5419.27228,28564.43423,26447.54108,105037.4522,22508.41686,16833.40231,7626.380656,22772.44739,23467.89474,27910.80266,20353.24104
QC2,neg,media,QC,QC,QC,QC,1150701.259,421334.9319,128999.319,16770.02704,19194.95957,168686.5904,149963.9955,9843520.406,410202.9736,116168.9827,28741.40243,77228.9087,147751.7886,146496.7751,67312.9055,606518.2174,32456.00474,40457.58939,1187823.876,255255.9195,220890.5233,218878.1012,133946.2411,856116.2134,20962.90782,454573.5458,41088.17457,91593.43136,138575.9229,3189.339016,78489.53808,162300.2126,108687.352,44865.74166,1930689.396,142470.4631,15853.84708,249188.4828,21876.03191,12253.01361,32935.4775,47479.14973,85149.9612,1663.262549,25488.23039,23787.94227,115522.9587,21246.48974,18461.94964,7154.695484,24496.59505,23307.17933,26596.34371,18986.73916
QC3,neg,media,QC,QC,QC,QC,1211523.465,398426.2068,144351.0724,21060.10001,20247.47564,143693.0759,132290.1697,9557999.032,393912.3701,110450.734,32617.28267,69859.13541,145842.9586,142161.5854,68600.11248,592345.1151,31662.92419,36055.80973,1157219.545,239145.8714,212162.3099,222955.4123,126666.5272,852345.6309,21118.14254,460741.0686,39864.78041,92704.87758,134337.9342,3216.993324,80339.27702,157554.1552,140756.2412,44247.98778,1857328.688,143241.687,15381.06318,215174.2497,22720.72233,9665.453474,35722.37701,50750.73067,81770.0408,4500.136111,25579.04927,23291.49925,116851.9019,21559.12356,16692.4629,6483.818575,24394.86354,19475.3747,24931.94171,19554.93229
QC4,neg,media,QC,QC,QC,QC,1293510.396,403746.4383,123168.0095,18706.18795,19971.36054,158273.8674,141932.6679,9215438.124,389973.5716,115970.0532,27705.05078,65352.0871,152246.3661,148623.1204,69238.63909,616659.4958,33685.64519,31293.53152,1130788.397,224147.2333,215758.1127,217804.5765,113826.9849,956313.2575,21394.27608,446444.3246,39588.14658,86652.1892,138292.0392,2859.240529,77937.49683,159909.3998,118379.6909,49915.30649,1793520.295,138472.2566,13355.63283,246868.0135,23356.00107,6433.783857,38061.26328,46580.62888,78087.60157,6372.073722,25094.41164,23576.23776,100351.6885,19034.05218,18177.13349,7196.64229,23228.16772,21079.28968,27225.5524,16995.86884
QC5,neg,media,QC,QC,QC,QC,1143272.415,394713.9166,135835.6682,19768.62123,26728.21202,150071.8476,132799.1671,9326978.453,391475.5596,113739.7432,23466.23199,70118.26035,146725.9685,143281.7614,60739.25302,621435.6692,33675.86887,31957.65095,1133242.636,237468.5219,217060.0927,207127.921,132085.8576,882927.127,25864.07493,461708.6116,39629.53939,83184.34681,117872.9329,2212.556309,79372.51267,159375.4143,116332.815,45157.60845,1813616.708,135811.1313,13873.47483,225581.2539,22717.78657,10388.73922,37186.14612,45285.68757,82345.90208,3794.929119,21822.68005,23402.21763,110658.5459,17076.29852,19164.05916,5675.351075,20930.96545,19165.35007,26113.74825,17740.89373
QC6,neg,media,QC,QC,QC,QC,1161324.452,422787.6115,115845.9077,21766.08556,26846.6651,157422.1891,146968.3059,10074245.15,353302.9849,110459.2414,29578.692,71168.40657,133657.4541,138918.6895,59521.37375,624356.285,30144.49096,34784.27823,1188992.758,240980.2512,205791.327,210036.0288,137580.4183,972328.7282,26573.94337,440562.8913,39421.4331,83825.42096,127615.305,3776.941966,77495.82169,167485.7792,89274.52575,49547.04529,1804634.932,141807.1563,13615.80704,212275.3202,23033.69885,8568.057535,33294.89143,50826.12626,82609.05001,7467.382839,37370.19269,25411.99424,142615.5719,15590.32334,19465.01324,8640.651838,26544.26517,19284.25179,25123.64371,16032.0294
QC7,neg,media,QC,QC,QC,QC,1218655.302,432956.5305,134318.7223,22723.02397,28815.37158,153716.2157,137318.765,9696260.265,359645.4279,109997.9778,33220.42688,63122.58174,139780.4893,138861.483,51560.52851,619409.4398,30268.71262,31442.82087,1167089.468,221221.3227,193946.6214,192833.7606,135630.8287,989536.2267,24531.0871,465188.8105,35230.19913,80314.37731,128237.118,2338.939771,73028.26231,164053.9329,123579.0745,44428.43542,1713098.266,141258.9083,12219.23613,228347.0123,24630.10072,6479.108136,37218.24546,46140.80758,78269.89593,5745.094951,23084.65089,24511.15028,183131.6113,22506.21257,24353.60851,9394.134092,28701.31045,18225.41691,25409.22369,18029.61654
QC8,neg,media,QC,QC,QC,QC,1245007.175,422492.4937,123110.9233,23455.82696,20837.98998,138157.3388,138325.8509,9627456.571,380409.3795,106686.2949,32003.16767,61818.74353,138302.2702,126982.2832,50786.83034,582965.985,29699.37476,34437.39396,1171131.68,221323.8047,200159.3661,194311.208,132308.5591,997412.3981,20589.99417,469486.1522,34566.22361,80885.59627,129651.2095,4005.569566,82869.49368,158307.95,111762.6929,37692.14877,1680965.026,140307.9854,12870.51046,233250.2394,21625.30483,5260.581483,32741.35403,48714.03753,81787.04731,9916.03986,28068.55124,24179.31953,206735.4172,20066.16057,20816.48679,10202.9055,30167.16936,21793.70831,19312.17266,15202.90104
QC9,neg,media,QC,QC,QC,QC,1318227.097,404089.3259,107629.5686,21320.84977,27062.07151,142496.2473,133874.1603,9550577.08,384228.0244,105056.4119,26020.44334,60386.43157,132233.1106,132124.5022,45181.70561,553750.9602,28673.65453,34982.9336,1109986.85,224852.4954,201446.3005,189520.7884,138302.494,1014475.4,21572.08252,469039.1883,37121.83184,80820.95691,119485.8534,4092.322892,77865.04958,157703.775,115841.1828,47804.16582,1656840.957,130960.5735,11602.51503,218862.4638,20687.40596,8545.545952,32163.54917,47156.74463,76732.79336,5909.324626,28504.82757,25135.2691,227954.1209,20569.20133,25069.20702,9030.130627,26084.12042,19679.30365,21155.58008,15244.19144
QC10,neg,media,QC,QC,QC,QC,1215256.189,405464.7582,103711.9201,21737.51359,22598.34323,118961.2024,122731.1879,9426813.54,365020.87,110368.8049,27524.4835,59658.47397,128582.5116,124584.8663,50092.5166,562418.3874,29900.94086,30422.11228,1135017.442,220522.9633,208005.324,184114.3445,126030.9352,1013922.949,19791.22913,455629.5258,36591.95981,84825.67753,127898.8649,1926.445377,80977.58283,165320.0474,110734.2167,45285.41933,1628671.826,131400.8386,13076.01277,212065.9834,23074.89127,7765.416477,30586.95995,47578.10747,76482.38199,6295.208317,28092.93624,22874.97353,264603.2953,18659.09685,22840.25926,8049.088083,34831.96464,17515.88329,20133.98945,16063.66833
