compound_short,compound_full,formula,mass,rt,cas_id
VPAnM1,Urea,C H4 N2 O,60.022,2.89,57-13-6
VPAnM2,Methylglyoxal,C3 H4 O2,72.022,2.89,78-98-8
VPAnM3,Glyoxylic Acid,C2 H2 O3,74.001,2.9,298-12-4
VPAnM4,Propionic Acid,C3 H6 O2,74.038,2.88,79-09-4
VPAnM5,Glycine,C2 H5 N O2,75.032,7.68,56-40-6
VPAnM6,Pyruvate,C3 H4 O3,88.016,1.4,127-17-3
VPAnM7,Alanine,C3 H7 N O2,89.048,8.14,56-41-7
VPAnM8,Lactic Acid,C3 H6 O3,90.033,2.92,79-33-4
VPAnM9,Acetoacetic Acid,C4 H6 O3,102.033,2.89,541-50-4
VPAnM10,Serine,C3 H7 N O3,105.043,8.02,56-45-1
VPAnM11,Uracil,C4 H4 N2 O2,112.027,1.55,66-22-8
VPAnM12,1-Pyrroline-2-carboxylic Acid,C5 H7 N O2,113.048,6.58,02139-03-9
VPAnM13,Valine,C5 H11 N O2,117.079,7.2,72-18-4
VPAnM14,Threonine,C4 H9 N O3,119.058,7.65,72-19-5
VPAnM15,3-Mercaptopyruvic Acid,C3 H4 O3 S,119.989,2.9,2464-23-5
VPAnM16,D-Erythrose,C4 H8 O4,120.044,2.9,583-50-6
VPAnM17,Taurine,C2 H7 N O3 S,125.015,4.83,107-35-7
VPAnM18,Thymine,C5 H6 N2 O2,126.04,2.9,65-71-4
VPAnM19,4-Oxoproline,C5 H7 N O3,129.043,5.95,4347-18-6
VPAnM20,Ketoleucine,C6 H10 O3,130.063,1.1,816-66-0
VPAnM21,Isoleucine,C6 H13 N O2,131.095,6.63,73-32-5
VPAnM22,Leucine,C6 H13 N O2,131.095,6.37,61-90-5
VPAnM23,Ethylmalonic Acid,C5 H8 O4,132.043,2.89,601-75-2
VPAnM24,Valproic acid,C8 H16 O2,144.115,1.3,99-66-1
VPAnM25,2-Oxoglutaric Acid,C5 H6 O5,146.021,6.33,328-50-7
VPAnM26,Glutamine,C5 H10 N2 O3,146.069,8.48,56-85-9
VPAnM27,Methionine,C5 H11 N O2 S,149.051,6.42,63-68-3
VPAnM28,D-Ribose,C5 H10 O5,150.054,2.9,50-69-1
VPAnM29,Xanthine,C5 H4 N4 O2,152.034,1.9,69-89-6
VPAnM30,Histidine,C6 H9 N3 O2,155.07,10.15,71-00-1
VPAnM31,Allantoin,C4 H6 N4 O3,158.044,1.79,97-59-6
VPAnM32,Phenylalanine,C9 H11 N O2,165.079,5.95,63-91-2
VPAnM33,Uric Acid,C5 H4 N4 O3,168.029,2.73,69-93-2
VPAnM34,myo-Inositol,C6 H12 O6,180.064,4.9,87-89-8
VPAnM35,D-Glucose,C6 H12 O6,180.065,2.89,50-99-7
VPAnM36,Tyrosine,C9 H11 N O3,181.074,6.09,60-18-4
VPAnM37,4-Hydroxyphenyllactic Acid,C9 H10 O4,182.058,1.73,6482-98-0
VPAnM38,D-Galactitol,C6 H14 O6,182.079,3.46,608-66-2
VPAnM39,Phenylacetylglycine,C10 H11 N O3,193.074,2.6,500-98-1
VPAnM40,Glucuronic Acid,C6 H10 O7,194.043,5.16,06556-12-3
VPAnM41,Cysteine-S-sulfonic Acid,C3 H7 N O5 S2,200.977,1.78,1637-71-4
VPAnM42,Tryptophan,C11 H12 N2 O2,204.09,5.65,73-22-3
VPAnM43,Pantothenic Acid,C9 H17 N O5,219.111,4.87,137-08-6
VPAnM44,Cytidine,C9 H13 N3 O5,243.085,3.57,65-46-3
VPAnM45,Uridine,C9 H12 N2 O6,244.068,1.72,58-96-8
VPAnM46,Inosine,C10 H12 N4 O5,268.081,2.65,58-63-9
VPAnM47,Oleic Acid,C18 H34 O2,282.256,1.18,112-80-1
VPAnM48,Guanosine,C10 H13 N5 O5,283.094,2.98,118-00-3
VPAnM49,Arachidonic Acid,C20 H32 O2,304.241,1.17,506-32-1
VPAnM50,Dihomo-gamma-linolenic Acid,C20 H34 O2,306.255,1.17,1783-84-2
VPAnM51,Docosahexaenoic Acid (22:6 n-3),C22 H32 O2,328.241,1.17,6217-54-5 
VPAnM52,Adrenoyl ethanolamide,C24 H41 N O2,375.309,1.14,150314-35-5
VPAnM53,Arachidonyl dopamine,C28 H41 N O3,439.314,1.16,199875-69-9 
VPAnM54,Folic Acid,C19 H19 N7 O6,441.14,8.25,59-30-3
