compound_short,compound_full,formula,mass,rt,cas_id
VPApM1,Alanine,C3 H7 N O2,89.048,8.16,56-41-7
VPApM2,Sarcosine,C3 H7 N O2,89.048,9.21,107-97-1
VPApM3,Choline,C5 H13 N O,103.1,22.66,62-49-7
VPApM4,Serine,C3 H7 N O3,105.043,8.03,56-45-1
VPApM5,Cytosine,C4 H5 N3 O,111.044,3.71,71-30-7
VPApM6,Uracil,C4 H4 N2 O2,112.027,1.57,66-22-8
VPApM7,Creatinine,C4 H7 N3 O,113.059,4.82,60-27-5
VPApM8,Proline,C5 H9 N O2,115.063,9.06,147-85-3
VPApM9,Valine,C5 H11 N O2,117.079,7.22,72-18-4
VPApM10,Succinic Acid,C4 H6 O4,118.02,6.12,110-15-6
VPApM11,Threonine,C4 H9 N O3,119.058,7.67,72-19-5
VPApM12,Nicotinamide,C6 H6 N2 O,122.048,1.89,98-92-0
VPApM13,Taurine,C2 H7 N O3 S,125.015,4.85,107-35-7
VPApM14,Thymine,C5 H6 N2 O2,126.043,1.63,65-71-4
VPApM15,4-Oxoproline,C5 H7 N O3,129.042,5.91,4347-18-6
VPApM16,Creatine,C4 H9 N3 O2,131.068,9.2,57-00-1
VPApM17,Isoleucine,C6 H13 N O2,131.095,6.65,73-32-5
VPApM18,Leucine,C6 H13 N O2,131.095,6.4,61-90-5
VPApM19,Hypoxanthine,C5 H4 N4 O,136.039,2.55,68-94-0
VPApM20,Deoxycarnitine,C7 H15 N O2,145.11,16.76,407-64-7
VPApM21,Glutamine,C5 H10 N2 O3,146.069,8.5,56-85-9
VPApM22,Lysine,C6 H14 N2 O2,146.106,22.71,56-87-1
VPApM23,Glutamic Acid,C5 H9 N O4,147.053,8.47,56-86-0
VPApM24,Methionine,C5 H11 N O2 S,149.051,6.46,63-68-3
VPApM25,Guanine,C5 H5 N5 O,151.048,6.45,73-40-5
VPApM26,2-Phenylglycine,C8 H9 N O2,151.063,6.45,02835-06-5
VPApM27,Xanthine,C5 H4 N4 O2,152.034,1.9,69-89-6
VPApM28,4-Hydroxyphenylacetic Acid,C8 H8 O3,152.056,1.91,156-38-7
VPApM29,Histidine,C6 H9 N3 O2,155.07,10.23,71-00-1
VPApM30,Allantoin,C4 H6 N4 O3,158.044,1.79,97-59-6
VPApM31,Carnitine,C7 H15 N O3,161.105,13.49,541-15-1
VPApM32,Phenylalanine,C9 H11 N O2,165.079,5.99,63-91-2
VPApM33,Uric Acid,C5 H4 N4 O3,168.029,2.72,69-93-2
VPApM34,Pyridoxine,C8 H11 N O3,169.074,2.8,65-23-6
VPApM35,Arginine,C6 H14 N4 O2,174.111,21.58,74-79-3
VPApM36,D-Glucose,C6 H12 O6,180.061,2.91,50-99-7
VPApM37,Tyrosine,C9 H11 N O3,181.074,6.13,60-18-4
VPApM38,D-Galactitol,C6 H14 O6,182.08,3.48,608-66-2
VPApM39,Cysteine-S-sulfonic Acid,C3 H7 N O5 S2,200.976,1.77,1637-71-4
VPApM40,Acetylcarnitine,C9 H17 N O4,203.114,13.05,5080-50-2
VPApM41,Tryptophan,C11 H12 N2 O2,204.089,5.68,73-22-3
VPApM42,Propionylcarnitine,C10 H19 N O4,217.131,12.22,20064-19-1
VPApM43,Pantothenic Acid,C9 H17 N O5,219.111,4.8,137-08-6
VPApM44,Butyrylcarnitine,C11 H21 N O4,231.146,11.44,25576-40-6
VPApM45,Cytidine,C9 H13 N3 O5,243.086,3.58,65-46-3
VPApM46,Uridine,C9 H12 N2 O6,244.07,2.18,58-96-8
VPApM47,Biotin,C10 H16 N2 O3 S,244.091,3.61,58-85-5
VPApM48,Glycerol-3-phosphocholine,C8 H20 N O6 P,257.104,13.7,28319-77-9
VPApM49,Thiamine,C12 H16 N4 O S,264.105,22.89,59-43-8
VPApM50,Inosine,C10 H12 N4 O5,268.087,2.64,58-63-9
VPApM51,Guanosine,C10 H13 N5 O5,283.093,3.06,118-00-3
VPApM52,Riboflavin,C17 H20 N4 O6,376.139,2.4,83-88-5
VPApM53,Folic Acid,C19 H19 N7 O6,441.14,8.23,59-30-3
VPApM54,LysoPC(16:0),C24 H50 N O7 P,495.333,9.1,00-00-015
VPApM55,LysoPC(18:1),C26 H52 N O7 P,521.348,8.98,00-00-018
VPApM56,LysoPC(18:0),C26 H54 N O7 P,523.364,8.94,00-00-019
